#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	GLUL	9606.ENSP00000379845	9606.ENSP00000307900	0.061	0	0	0	0.111	0	0	0.517	0.562
ABAT	MAOA	9606.ENSP00000379845	9606.ENSP00000340684	0.057	0	0	0	0.086	0	0	0.440	0.475
ABAT	ALDH18A1	9606.ENSP00000379845	9606.ENSP00000360268	0.042	0	0	0	0.087	0	0	0.403	0.433
ABAT	SGPL1	9606.ENSP00000379845	9606.ENSP00000362298	0.057	0	0	0	0.116	0.115	0.259	0.352	0.581
ABCA1	SPTLC2	9606.ENSP00000363868	9606.ENSP00000216484	0	0	0	0	0.042	0.053	0	0.582	0.587
ABCA1	AGO2	9606.ENSP00000363868	9606.ENSP00000220592	0	0	0	0	0.079	0.073	0.500	0.250	0.637
ABCA1	DGAT2	9606.ENSP00000363868	9606.ENSP00000228027	0	0	0	0	0.052	0	0	0.409	0.416
ABCA1	LIPE	9606.ENSP00000363868	9606.ENSP00000244289	0	0	0	0	0	0	0	0.473	0.473
ABCA1	CANX	9606.ENSP00000363868	9606.ENSP00000247461	0	0	0	0	0.045	0.292	0	0.257	0.454
ABCA1	FABP4	9606.ENSP00000363868	9606.ENSP00000256104	0	0	0	0	0.044	0	0	0.457	0.458
ABCA1	SCARB2	9606.ENSP00000363868	9606.ENSP00000264896	0	0	0	0	0.129	0	0	0.813	0.830
ABCA1	SQLE	9606.ENSP00000363868	9606.ENSP00000265896	0	0	0	0	0	0.051	0	0.519	0.524
ABCA1	LEP	9606.ENSP00000363868	9606.ENSP00000312652	0	0	0	0	0.049	0	0	0.644	0.646
ABCA1	MLXIPL	9606.ENSP00000363868	9606.ENSP00000320886	0	0	0	0	0	0	0	0.447	0.447
ABCA1	DMD	9606.ENSP00000363868	9606.ENSP00000354923	0	0	0	0	0	0.292	0	0.414	0.567
ABCA1	ACLY	9606.ENSP00000363868	9606.ENSP00000466259	0	0	0	0	0	0	0	0.405	0.405
ABCA1	TBL1XR1	9606.ENSP00000363868	9606.ENSP00000405574	0	0	0	0	0.049	0.046	0.400	0.104	0.447
ABCA1	ADIPOQ	9606.ENSP00000363868	9606.ENSP00000389814	0	0	0	0	0.060	0	0	0.478	0.488
ABCA1	ABCA8	9606.ENSP00000363868	9606.ENSP00000467271	0	0	0	0.663	0.065	0	0	0.496	0.509
ABCA1	ATP8B1	9606.ENSP00000363868	9606.ENSP00000497896	0	0	0	0	0.062	0.067	0	0.521	0.545
ABCA1	RHOA	9606.ENSP00000363868	9606.ENSP00000400175	0	0	0	0	0	0.053	0	0.540	0.546
ABCA1	ESR1	9606.ENSP00000363868	9606.ENSP00000405330	0	0	0	0	0.042	0.049	0	0.609	0.613
ABCA1	LPL	9606.ENSP00000363868	9606.ENSP00000497642	0	0	0	0	0.042	0	0	0.669	0.670
ABCA1	CD36	9606.ENSP00000363868	9606.ENSP00000415743	0	0	0	0	0.087	0	0	0.823	0.831
ABCA8	ADH1B	9606.ENSP00000467271	9606.ENSP00000306606	0	0	0	0	0.391	0	0	0.236	0.514
ABHD12	GDE1	9606.ENSP00000365725	9606.ENSP00000261386	0.054	0	0	0	0.049	0	0	0.610	0.618
ABHD12	ABHD2	9606.ENSP00000365725	9606.ENSP00000268129	0	0	0	0	0.061	0	0	0.483	0.494
ABHD12	LYPLA1	9606.ENSP00000365725	9606.ENSP00000320043	0	0	0	0	0.042	0	0	0.477	0.477
ABHD17C	LYPLA1	9606.ENSP00000258884	9606.ENSP00000320043	0	0	0	0	0.049	0	0.400	0.500	0.690
ABHD2	LYPLA1	9606.ENSP00000268129	9606.ENSP00000320043	0	0	0	0	0.053	0	0.181	0.314	0.422
ABHD2	CASD1	9606.ENSP00000268129	9606.ENSP00000297273	0	0	0	0	0.087	0	0	0.435	0.462
ACACB	DGAT2	9606.ENSP00000341044	9606.ENSP00000228027	0	0	0	0	0.062	0	0	0.571	0.581
ACACB	LIPE	9606.ENSP00000341044	9606.ENSP00000244289	0.042	0	0	0	0.131	0	0	0.513	0.559
ACACB	FABP4	9606.ENSP00000341044	9606.ENSP00000256104	0	0	0	0	0.119	0	0	0.438	0.483
ACACB	SCARB2	9606.ENSP00000341044	9606.ENSP00000264896	0	0	0	0	0.074	0	0	0.471	0.489
ACACB	GPAM	9606.ENSP00000341044	9606.ENSP00000265276	0	0	0	0	0.250	0	0	0.531	0.634
ACACB	THRSP	9606.ENSP00000341044	9606.ENSP00000281030	0	0	0	0	0.143	0.139	0	0.589	0.670
ACACB	PLIN1	9606.ENSP00000341044	9606.ENSP00000300055	0	0	0	0	0.196	0	0	0.377	0.478
ACACB	GPD1	9606.ENSP00000341044	9606.ENSP00000301149	0	0	0	0	0.152	0	0	0.467	0.528
ACACB	GLUL	9606.ENSP00000341044	9606.ENSP00000307900	0.045	0	0	0	0	0	0.190	0.299	0.410
ACACB	LEP	9606.ENSP00000341044	9606.ENSP00000312652	0	0	0	0	0.183	0	0	0.573	0.636
ACACB	SCD5	9606.ENSP00000341044	9606.ENSP00000316329	0	0	0	0	0.294	0	0	0.418	0.571
ACACB	PCK1	9606.ENSP00000341044	9606.ENSP00000319814	0	0	0	0	0.097	0	0	0.456	0.487
ACACB	MLXIPL	9606.ENSP00000341044	9606.ENSP00000320886	0	0	0	0	0.095	0	0	0.530	0.557
ACACB	ALDOC	9606.ENSP00000341044	9606.ENSP00000378731	0	0	0	0	0.054	0	0	0.404	0.412
ACACB	RGS1	9606.ENSP00000341044	9606.ENSP00000356429	0	0	0	0	0	0.423	0	0	0.422
ACACB	LPL	9606.ENSP00000341044	9606.ENSP00000497642	0	0	0	0	0.083	0	0	0.402	0.428
ACACB	ADIPOQ	9606.ENSP00000341044	9606.ENSP00000389814	0	0	0	0	0.131	0	0	0.392	0.449
ACACB	CD36	9606.ENSP00000341044	9606.ENSP00000415743	0	0	0	0	0.109	0	0	0.506	0.541
ACACB	MCCC2	9606.ENSP00000341044	9606.ENSP00000343657	0.111	0	0	0	0	0	0.585	0.416	0.766
ACACB	ALDH18A1	9606.ENSP00000341044	9606.ENSP00000360268	0.070	0	0	0	0	0	0.767	0.088	0.785
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000466259	0	0	0	0	0.205	0	0.800	0.828	0.970
ACLY	DGAT2	9606.ENSP00000466259	9606.ENSP00000228027	0	0	0	0	0.068	0	0	0.571	0.583
ACLY	LIPE	9606.ENSP00000466259	9606.ENSP00000244289	0.057	0	0	0	0.046	0	0	0.508	0.519
ACLY	FABP4	9606.ENSP00000466259	9606.ENSP00000256104	0	0	0	0	0.053	0	0	0.494	0.501
ACLY	SCARB2	9606.ENSP00000466259	9606.ENSP00000264896	0	0	0	0	0.049	0	0	0.526	0.530
ACLY	GPAM	9606.ENSP00000466259	9606.ENSP00000265276	0	0	0	0	0.044	0	0	0.514	0.516
ACLY	SQLE	9606.ENSP00000466259	9606.ENSP00000265896	0	0	0	0	0.186	0	0	0.480	0.558
ACLY	THRSP	9606.ENSP00000466259	9606.ENSP00000281030	0	0	0	0	0.111	0	0	0.676	0.700
