node_index,id,logFC,type,logic,pathway,embedding_l2_norm,encoder
0,MIMAT0000076,1.4834,miR,,,0.0,proteinbert
1,MIMAT0000089,1.49095,miR,,,0.0,proteinbert
2,MIMAT0000232,-1.43493,miR,,,0.0,proteinbert
3,MIMAT0000252,-2.56718,miR,,,0.0,proteinbert
4,MIMAT0000255,1.91218,miR,,,0.0,proteinbert
5,MIMAT0000262,1.44197,miR,,,0.0,proteinbert
6,MIMAT0000263,-2.52597,miR,,,0.0,proteinbert
7,MIMAT0000265,-2.92486,miR,,,0.0,proteinbert
8,MIMAT0000271,-1.42539,miR,,,0.0,proteinbert
9,MIMAT0000278,2.87209,miR,,,0.0,proteinbert
10,MIMAT0000279,2.66827,miR,,,0.0,proteinbert
11,MIMAT0000430,-1.74416,miR,,,0.0,proteinbert
12,MIMAT0000436,-2.23477,miR,,,0.0,proteinbert
13,MIMAT0000441,-2.30199,miR,,,0.0,proteinbert
14,MIMAT0000461,-1.41384,miR,,,0.0,proteinbert
15,MIMAT0000707,-1.6235,miR,,,0.0,proteinbert
16,MIMAT0000728,2.38298,miR,,,0.0,proteinbert
17,MIMAT0000733,-1.70044,miR,,,0.0,proteinbert
18,MIMAT0001413,-1.42071,miR,,,0.0,proteinbert
19,MIMAT0001631,-2.64329,miR,,,0.0,proteinbert
20,MIMAT0002177,-2.68959,miR,,,0.0,proteinbert
21,MIMAT0002809,4.77846,miR,,,0.0,proteinbert
22,MIMAT0003233,3.11424,miR,,,0.0,proteinbert
23,MIMAT0003322,-1.42782,miR,,,0.0,proteinbert
24,MIMAT0004563,-1.43438,miR,,,0.0,proteinbert
25,MIMAT0004766,4.9077,miR,,,0.0,proteinbert
26,MIMAT0005824,-2.23051,miR,,,0.0,proteinbert
27,MIMAT0005899,-1.58159,miR,,,0.0,proteinbert
28,MIMAT0004501,-1.40305,miR,,,0.0,proteinbert
29,MIMAT0004504,1.61385,miR,,,0.0,proteinbert
30,MIMAT0004554,-2.05563,miR,,,0.0,proteinbert
31,MIMAT0004568,1.99246,miR,,,0.0,proteinbert
32,MIMAT0004600,-2.63332,miR,,,0.0,proteinbert
