id,logFC,type,logic,pathway
MIMAT0000076,1.4834,miR,,
MIMAT0000089,1.49095,miR,,
MIMAT0000232,-1.43493,miR,,
MIMAT0000252,-2.56718,miR,,
MIMAT0000255,1.91218,miR,,
MIMAT0000262,1.44197,miR,,
MIMAT0000263,-2.52597,miR,,
MIMAT0000265,-2.92486,miR,,
MIMAT0000271,-1.42539,miR,,
MIMAT0000278,2.87209,miR,,
MIMAT0000279,2.66827,miR,,
MIMAT0000430,-1.74416,miR,,
MIMAT0000436,-2.23477,miR,,
MIMAT0000441,-2.30199,miR,,
MIMAT0000461,-1.41384,miR,,
MIMAT0000707,-1.6235,miR,,
MIMAT0000728,2.38298,miR,,
MIMAT0000733,-1.70044,miR,,
MIMAT0001413,-1.42071,miR,,
MIMAT0001631,-2.64329,miR,,
MIMAT0002177,-2.68959,miR,,
MIMAT0002809,4.77846,miR,,
MIMAT0003233,3.11424,miR,,
MIMAT0003322,-1.42782,miR,,
MIMAT0004563,-1.43438,miR,,
MIMAT0004766,4.9077,miR,,
MIMAT0005824,-2.23051,miR,,
MIMAT0005899,-1.58159,miR,,
MIMAT0004501,-1.40305,miR,,
MIMAT0004504,1.61385,miR,,
MIMAT0004554,-2.05563,miR,,
MIMAT0004568,1.99246,miR,,
MIMAT0004600,-2.63332,miR,,
MIMAT0004607,-1.62838,miR,,
MIMAT0006790,-1.57319,miR,,
CREB5,1.06812,mRNA,,
SETD1B,-0.235105,mRNA,,
RORA,-0.500954,mRNA,,
GRIN2B,-0.0181727,mRNA,,
ATXN1,-0.304866,mRNA,,
TCF20,-0.192239,mRNA,,
EFHD2,1.06069,mRNA,,
TPM3,0.297344,mRNA,,
ERGIC1,0.080709,mRNA,,
ATP6V1A,0.218256,mRNA,,
CSNK2A1,-0.119569,mRNA,,
PEX5L,-0.974857,mRNA,,
SLC46A1,-0.576687,mRNA,,
CYBRD1,-0.984736,mRNA,,
GNA13,-0.374688,mRNA,,
PAG1,-0.132284,mRNA,,
MECP2,-0.152147,mRNA,,
IGFBP4,0.394432,mRNA,,
YY1,0.0730484,mRNA,,
RSBN1,-0.335478,mRNA,,
EIF4EBP1,0.770913,mRNA,,
RHOC,0.681812,mRNA,,
DMKN,0.123481,mRNA,,
DNAJB6,-0.153397,mRNA,,
NFKB1,-0.188556,mRNA,,path:hsa04010
LNPEP,-0.73864,mRNA,,
TERT,-0.13299,mRNA,,
ZMYND11,-0.583717,mRNA,,
EID1,-0.045616,mRNA,,
YAP1,0.18203,mRNA,,
MXD1,-0.634627,mRNA,,
MEAF6,0.700487,mRNA,,
IGF2BP1,-0.481746,mRNA,,
BLCAP,0.067025,mRNA,,
CELF1,-0.320911,mRNA,,
S100A1,1.6721,mRNA,,
FOXC1,-0.0852997,mRNA,,
CDH2,2.70602,mRNA,,
RPA1,-0.0625097,mRNA,,
IGLON5,0.284401,mRNA,,
CCND1,1.7233,mRNA,,
BCL11A,-1.23737,mRNA,,
ZNF426,-0.572881,mRNA,,
PHKG2,0.440011,mRNA,,
FNDC3A,-0.318555,mRNA,,
IRS1,-1.74526,mRNA,,
TEX9,-0.266962,mRNA,,
ADARB2,0.013303,mRNA,,
SMAD4,-0.408949,mRNA,,
SOD2,-0.0743014,mRNA,,
BLMH,0.110622,mRNA,,
REL,-0.678545,mRNA,,
KY,-2.35838,mRNA,,
SLC12A7,0.109422,mRNA,,
KLHDC8B,-0.249076,mRNA,,
POLR3G,-0.250757,mRNA,,
BIVM,-0.347645,mRNA,,
PTGS1,-0.0479085,mRNA,,
OLFML2A,0.00717386,mRNA,,
APOL6,0.129287,mRNA,,
RAB8A,0.0343154,mRNA,,
MAT2A,-0.696761,mRNA,,
LSM4,0.291811,mRNA,,
LIMD1,-0.38818,mRNA,,
ZNF551,-0.465638,mRNA,,
CPEB4,-0.917849,mRNA,,
GANAB,-0.0798684,mRNA,,
GK5,0.100351,mRNA,,
USP48,-0.207679,mRNA,,
LIMD2,0.201151,mRNA,,
TMEM167A,-0.22301,mRNA,,
RUFY2,-0.243331,mRNA,,
ZNRF3,0.0171901,mRNA,,
ARL8A,0.235999,mRNA,,
TMPRSS5,0.450785,mRNA,,
PMAIP1,1.48461,mRNA,,
PPP1R11,-0.10231,mRNA,,
KCTD15,-0.803506,mRNA,,
CCDC6,-0.0969515,mRNA,,
AKAP8,-0.319262,mRNA,,
NOVA1,0.0562911,mRNA,,
TRAF6,-0.910971,mRNA,,path:hsa04010
GXYLT2,0.39023,mRNA,,
ZNF629,0.0890516,mRNA,,
UMPS,-0.121256,mRNA,,
