microRNA,log2(Fold Change),T-test P-value
MIMAT0000072,-1.29268,2.9651e-27
MIMAT0000076,1.61046,3.45185e-18
MIMAT0000103,-1.12517,4.48406e-34
MIMAT0000232,-1.02937,1.06178e-18
MIMAT0000255,1.98807,1.23622e-20
MIMAT0000256,1.10683,2.56293e-15
MIMAT0000257,1.25476,8.61612e-18
MIMAT0000265,-1.31874,6.06158e-07
MIMAT0000278,3.10032,2.43465e-22
MIMAT0000279,2.93454,5.46459e-24
MIMAT0000430,-1.45216,2.14317e-26
MIMAT0000433,-1.15498,6.00794e-08
MIMAT0000434,-1.16771,1.22625e-06
MIMAT0000436,-2.25238,1.13876e-35
MIMAT0000441,-1.73045,3.54e-10
MIMAT0000451,-1.59476,7.04674e-08
MIMAT0000461,-1.23037,3.98147e-28
MIMAT0000710,-1.01294,6.11287e-27
MIMAT0000728,2.60607,1.04067e-10
MIMAT0000753,-1.00757,1.98947e-08
MIMAT0001631,-2.48369,8.28676e-45
MIMAT0002177,-2.51089,5.96689e-37
MIMAT0002809,5.40029,2.7001e-14
MIMAT0002819,-1.26414,3.00393e-20
MIMAT0002874,1.30886,0.000527282
MIMAT0003322,-1.36682,3.8756e-33
MIMAT0004552,-1.04435,5.11763e-19
MIMAT0004563,-1.02884,1.17147e-18
MIMAT0004766,5.68014,1.90204e-13
MIMAT0004926,-1.16725,1.15792e-19
MIMAT0015378,1.19777,7.55097e-05
MIMAT0004501,-1.44679,1.0211e-13
MIMAT0004518,-1.00062,4.79677e-24
MIMAT0004558,1.32168,1.21144e-15
MIMAT0004569,1.32853,2.59291e-13
MIMAT0004600,-2.54888,7.11322e-43
